--- Query 1: Exercises ---
ID: 109 | Name: barbell curl | Key: barbell curl | Category: Arms
ID: 18 | Name: leg curl | Key: leg curl | Category: Legs
ID: 17 | Name: leg extension | Key: leg extension | Category: Legs
ID: 15 | Name: leg press | Key: leg press | Category: Legs
ID: 10 | Name: lunge | Key: lunge | Category: Legs
ID: 5 | Name: overhead squat | Key: overhead squat | Category: Legs
ID: 12 | Name: reverse lunge | Key: reverse lunge | Category: Legs
ID: 9 | Name: romanian deadlift | Key: romanian deadlift | Category: Legs
ID: 21 | Name: seated calf raise | Key: seated calf raise | Category: Legs
ID: 19 | Name: sissy squat | Key: sissy squat | Category: Legs
ID: 22 | Name: standing calf raise | Key: standing calf raise | Category: Legs
ID: 8 | Name: sumo deadlift | Key: sumo deadlift | Category: Legs
ID: 3 | Name: sumo squat | Key: sumo squat | Category: Legs
ID: 11 | Name: walking lunge | Key: walking lunge | Category: Legs
ID: 25 | Name: zercher squat | Key: zercher squat | Category: Legs
ID: 87 | Name: arnold press | Key: arnold press | Category: Shoulders
ID: 105 | Name: barbell shrug | Key: barbell shrug | Category: Shoulders
ID: 101 | Name: barbell upright row | Key: barbell upright row | Category: Shoulders
ID: 92 | Name: bent over lateral raise | Key: bent over lateral raise | Category: Shoulders
ID: 98 | Name: bent over rear delt fly | Key: bent over rear delt fly | Category: Shoulders
ID: 95 | Name: cable front raise | Key: cable front raise | Category: Shoulders
ID: 91 | Name: cable lateral raise | Key: cable lateral raise | Category: Shoulders
ID: 107 | Name: cable shrug | Key: cable shrug | Category: Shoulders
ID: 94 | Name: dumbbell front raise | Key: dumbbell front raise | Category: Shoulders
ID: 85 | Name: dumbbell shoulder press | Key: dumbbell shoulder press | Category: Shoulders
ID: 106 | Name: dumbbell shrug | Key: dumbbell shrug | Category: Shoulders
ID: 102 | Name: dumbbell upright row | Key: dumbbell upright row | Category: Shoulders
ID: 93 | Name: front raise | Key: front raise | Category: Shoulders
ID: 103 | Name: kettlebell upright row | Key: kettlebell upright row | Category: Shoulders
ID: 88 | Name: landmine press | Key: landmine press | Category: Shoulders
ID: 89 | Name: lateral raise | Key: lateral raise | Category: Shoulders
ID: 82 | Name: military press | Key: military press | Category: Shoulders
ID: 81 | Name: overhead press | Key: overhead press | Category: Shoulders
ID: 96 | Name: plate raise | Key: plate raise | Category: Shoulders
ID: 84 | Name: push press | Key: push press | Category: Shoulders
ID: 97 | Name: rear delt fly | Key: rear delt fly | Category: Shoulders
ID: 99 | Name: reverse pec deck | Key: reverse pec deck | Category: Shoulders
ID: 86 | Name: seated dumbbell press | Key: seated dumbbell press | Category: Shoulders
ID: 104 | Name: shrug | Key: shrug | Category: Shoulders
ID: 90 | Name: side lateral raise | Key: side lateral raise | Category: Shoulders
ID: 83 | Name: strict press | Key: strict press | Category: Shoulders
ID: 100 | Name: upright row | Key: upright row | Category: Shoulders

--- Query 2: Count ---
Total exercises: 231
